lag_fs,acf_norm_mean,acf_norm_sem
1.215000000000000000e+02,4.175691399999999220e-02,1.581311560400415917e-03
1.220000000000000000e+02,4.582569200000000120e-02,1.058595354322887502e-03
1.225000000000000000e+02,5.060987799999999703e-02,2.087668648409990620e-03
1.230000000000000000e+02,5.566552400000000095e-02,3.374385936603281622e-03
1.235000000000000000e+02,6.044381600000000437e-02,4.435398617148857310e-03
1.240000000000000000e+02,6.435725600000000157e-02,5.103006444453701482e-03
1.245000000000000000e+02,6.685301999999999911e-02,5.292285441934325811e-03
1.250000000000000000e+02,6.748419000000001333e-02,4.984073444949421380e-03
1.255000000000000000e+02,6.596972800000000525e-02,4.227562073541204189e-03
1.260000000000000000e+02,6.223550199999999810e-02,3.153658637483455068e-03
1.265000000000000000e+02,5.643133599999999861e-02,2.050032912751890805e-03
1.270000000000000000e+02,4.892190600000000111e-02,1.655277445154134611e-03
1.275000000000000000e+02,4.025273799999999624e-02,2.394057986593891435e-03
1.280000000000000000e+02,3.109533800000000014e-02,3.379153702601288538e-03
1.285000000000000000e+02,2.217771800000000251e-02,4.119287091643893117e-03
1.290000000000000000e+02,1.420812800000000042e-02,4.449094925040822379e-03
1.295000000000000000e+02,7.800350000000000165e-03,4.326672814751538962e-03
1.300000000000000000e+02,3.408865999999999979e-03,3.802606963608781785e-03
1.305000000000000000e+02,1.281261999999999809e-03,3.037821701901544710e-03
1.310000000000000000e+02,1.433583999999999900e-03,2.387173838706767044e-03
1.315000000000000000e+02,3.651991999999999738e-03,2.408594476534810756e-03
1.320000000000000000e+02,7.521012000000000530e-03,3.144774846728140647e-03
1.325000000000000000e+02,1.247545599999999935e-02,4.073887519853242045e-03
1.330000000000000000e+02,1.786994600000000114e-02,4.838290986044142469e-03
1.335000000000000000e+02,2.305754600000000515e-02,5.262867827767100590e-03
1.340000000000000000e+02,2.746764000000000497e-02,5.270666840963295768e-03
1.345000000000000000e+02,3.067337600000000220e-02,4.856791264801896615e-03
1.350000000000000000e+02,3.244032000000000859e-02,4.083499530467709672e-03
1.355000000000000000e+02,3.275059000000000303e-02,3.089007538888502349e-03
1.360000000000000000e+02,3.179988799999999838e-02,2.140926676055021020e-03
1.365000000000000000e+02,2.996825799999999762e-02,1.760318088626029991e-03
1.370000000000000000e+02,2.776845399999999797e-02,2.194788995376548580e-03
1.375000000000000000e+02,2.577836799999999595e-02,2.853763191982474235e-03
