lag_fs,running_eta_mean,running_eta_sem
9.950000000000000000e+01,2.098016040000000026e-01,2.016344692468526306e-03
1.000000000000000000e+02,2.105660300000000151e-01,2.042016158126570228e-03
1.005000000000000000e+02,2.114777179999999812e-01,2.069644660446328093e-03
1.010000000000000000e+02,2.125057599999999880e-01,2.098140868616785778e-03
1.015000000000000000e+02,2.136150600000000233e-01,2.125877234381139472e-03
1.020000000000000000e+02,2.147698539999999823e-01,2.150871554004561356e-03
1.025000000000000000e+02,2.159368160000000036e-01,2.171261968101960427e-03
1.030000000000000000e+02,2.170873939999999891e-01,2.185886918254463084e-03
1.035000000000000000e+02,2.181991660000000000e-01,2.194719415172703865e-03
1.040000000000000000e+02,2.192561839999999651e-01,2.199007061290619066e-03
1.045000000000000000e+02,2.202483480000000104e-01,2.200971212745413217e-03
1.050000000000000000e+02,2.211700200000000227e-01,2.203186052931075962e-03
1.055000000000000000e+02,2.220181959999999732e-01,2.207776455958799632e-03
1.060000000000000000e+02,2.227906240000000204e-01,2.215776174218867661e-03
1.065000000000000000e+02,2.234842439999999986e-01,2.226853893639186514e-03
1.070000000000000000e+02,2.240942600000000451e-01,2.239566873774924069e-03
1.075000000000000000e+02,2.246141020000000099e-01,2.252004234333051819e-03
1.080000000000000000e+02,2.250362019999999907e-01,2.262540540322758708e-03
1.085000000000000000e+02,2.253535480000000146e-01,2.270393133629942072e-03
1.090000000000000000e+02,2.255616359999999820e-01,2.275785258530779471e-03
1.095000000000000000e+02,2.256604979999999594e-01,2.279718956374665248e-03
1.100000000000000000e+02,2.256563879999999855e-01,2.283460702631863893e-03
1.105000000000000000e+02,2.255627739999999937e-01,2.288022273452773678e-03
1.110000000000000000e+02,2.254004599999999969e-01,2.293861824397888834e-03
1.115000000000000000e+02,2.251967019999999986e-01,2.300936114492100650e-03
1.120000000000000000e+02,2.249833940000000310e-01,2.309048278485314413e-03
1.125000000000000000e+02,2.247945119999999741e-01,2.318300709520661109e-03
1.130000000000000000e+02,2.246630679999999658e-01,2.329373408879303279e-03
1.135000000000000000e+02,2.246179940000000153e-01,2.343486387687370148e-03
1.140000000000000000e+02,2.246812659999999906e-01,2.361944274483630205e-03
1.145000000000000000e+02,2.248657800000000151e-01,2.385499885627746612e-03
1.150000000000000000e+02,2.251741899999999963e-01,2.413737503400066424e-03
1.155000000000000000e+02,2.255990099999999887e-01,2.444843023903577398e-03
1.160000000000000000e+02,2.261240379999999717e-01,2.475873178810657649e-03
1.165000000000000000e+02,2.267269239999999964e-01,2.503417138388247878e-03
1.170000000000000000e+02,2.273826360000000268e-01,2.524455361396990560e-03
1.175000000000000000e+02,2.280673320000000115e-01,2.537066331612951222e-03
1.180000000000000000e+02,2.287620959999999981e-01,2.540801844451081194e-03
1.185000000000000000e+02,2.294559839999999740e-01,2.536667931205419894e-03
1.190000000000000000e+02,2.301479280000000016e-01,2.526747444782323146e-03
1.195000000000000000e+02,2.308471599999999957e-01,2.513644497225095507e-03
1.200000000000000000e+02,2.315721139999999956e-01,2.499973345747107112e-03
1.205000000000000000e+02,2.323478959999999705e-01,2.488001279930539787e-03
1.210000000000000000e+02,2.332026260000000240e-01,2.479583252249459215e-03
1.215000000000000000e+02,2.341631299999999971e-01,2.476271050274988540e-03
1.220000000000000000e+02,2.352505359999999823e-01,2.479417578227998721e-03
1.225000000000000000e+02,2.364762980000000014e-01,2.490173648441810269e-03
1.230000000000000000e+02,2.378392059999999975e-01,2.509211583261963373e-03
1.235000000000000000e+02,2.393237899999999807e-01,2.536320964229489116e-03
1.240000000000000000e+02,2.409003639999999780e-01,2.570067709210403610e-03
1.245000000000000000e+02,2.425268079999999826e-01,2.607717568617049127e-03
1.250000000000000000e+02,2.441519480000000075e-01,2.645544112934802676e-03
1.255000000000000000e+02,2.457201979999999730e-01,2.679479392657088069e-03
1.260000000000000000e+02,2.471769479999999797e-01,2.705857255093848703e-03
1.265000000000000000e+02,2.484741020000000022e-01,2.722074169091279715e-03
1.270000000000000000e+02,2.495750979999999952e-01,2.726985969068048375e-03
1.275000000000000000e+02,2.504588099999999207e-01,2.720971452575348705e-03
1.280000000000000000e+02,2.511218560000000322e-01,2.705717311622925225e-03
1.285000000000000000e+02,2.515790219999999300e-01,2.683833816035186091e-03
1.290000000000000000e+02,2.518617239999999535e-01,2.658436937556725964e-03
1.295000000000000000e+02,2.520147019999999793e-01,2.632802458707070650e-03
1.300000000000000000e+02,2.520913099999999574e-01,2.610168371609387743e-03
1.305000000000000000e+02,2.521479280000000212e-01,2.593614314581871565e-03
1.310000000000000000e+02,2.522381080000000164e-01,2.585967367532697198e-03
1.315000000000000000e+02,2.524071479999999701e-01,2.589583638132585738e-03
1.320000000000000000e+02,2.526876599999999806e-01,2.606002920984546497e-03
1.325000000000000000e+02,2.530966679999999691e-01,2.635529089935069978e-03
1.330000000000000000e+02,2.536345159999999765e-01,2.676902970745484098e-03
1.335000000000000000e+02,2.542857779999999623e-01,2.727254091039926168e-03
1.340000000000000000e+02,2.550220000000000264e-01,2.782391964407604067e-03
1.345000000000000000e+02,2.558059940000000365e-01,2.837404291236271612e-03
1.350000000000000000e+02,2.565971839999999782e-01,2.887382487989077068e-03
1.355000000000000000e+02,2.573573080000000068e-01,2.928109257615565519e-03
1.360000000000000000e+02,2.580558679999999661e-01,2.956585647973691486e-03
1.365000000000000000e+02,2.586745859999999841e-01,2.971308011325311978e-03
1.370000000000000000e+02,2.592103760000000201e-01,2.972349582348278972e-03
1.375000000000000000e+02,2.596763860000000368e-01,2.961261320985700447e-03
1.380000000000000000e+02,2.601010020000000256e-01,2.940864110278471315e-03
1.385000000000000000e+02,2.605248960000000058e-01,2.914960218684978406e-03
1.390000000000000000e+02,2.609964420000000507e-01,2.887991522074468201e-03
1.395000000000000000e+02,2.615660119999999589e-01,2.864650078525122871e-03
1.400000000000000000e+02,2.622798819999999642e-01,2.849398391035198961e-03
1.405000000000000000e+02,2.631744040000000284e-01,2.845963341017582627e-03
1.410000000000000000e+02,2.642711939999999871e-01,2.856824551449739600e-03
1.415000000000000000e+02,2.655739019999999728e-01,2.882841539227224640e-03
1.420000000000000000e+02,2.670669440000000283e-01,2.923081188103742335e-03
1.425000000000000000e+02,2.687164160000000135e-01,2.974955522895422321e-03
1.430000000000000000e+02,2.704730460000000503e-01,3.034565362409571022e-03
1.435000000000000000e+02,2.722768780000000000e-01,3.097222236306908238e-03
1.440000000000000000e+02,2.740631479999999787e-01,3.158011139209927504e-03
1.445000000000000000e+02,2.757687059999999191e-01,3.212302816965730522e-03
1.450000000000000000e+02,2.773382359999999602e-01,3.256186870725635580e-03
1.455000000000000000e+02,2.787295520000000471e-01,3.286821247863049196e-03
1.460000000000000000e+02,2.799174739999999995e-01,3.302686026092397330e-03
1.465000000000000000e+02,2.808957420000000038e-01,3.303741209314672595e-03
1.470000000000000000e+02,2.816769120000000015e-01,3.291479419036976491e-03
1.475000000000000000e+02,2.822901220000000322e-01,3.268829198664865814e-03
1.480000000000000000e+02,2.827771359999999845e-01,3.239907506498601510e-03
1.485000000000000000e+02,2.831871299999999536e-01,3.209574212764054833e-03
1.490000000000000000e+02,2.835707339999999910e-01,3.182859515403715488e-03
1.495000000000000000e+02,2.839742260000000518e-01,3.164328421233480928e-03
