lag_ps,msd_mean,msd_sem
4.400000000000000022e-01,1.203250884000000243e+00,1.369643772377789580e-02
4.450000000000000067e-01,1.213639000000000134e+00,1.393090454053111556e-02
4.500000000000000111e-01,1.223962611999999783e+00,1.416527835292742156e-02
4.550000000000000155e-01,1.234224588000000011e+00,1.439946910938955799e-02
4.600000000000000200e-01,1.244427463999999928e+00,1.463338500114812028e-02
4.650000000000000244e-01,1.254574096000000027e+00,1.486692428561083544e-02
4.699999999999999734e-01,1.264667677999999906e+00,1.510004425355215320e-02
4.749999999999999778e-01,1.274711176000000057e+00,1.533270534535168331e-02
4.799999999999999822e-01,1.284707311999999879e+00,1.556485801579938349e-02
4.849999999999999867e-01,1.294658887999999841e+00,1.579644601519891722e-02
4.899999999999999911e-01,1.304568808000000191e+00,1.602745201707632405e-02
4.949999999999999956e-01,1.314439789999999997e+00,1.625787195220150180e-02
5.000000000000000000e-01,1.324274357999999818e+00,1.648769718152066563e-02
5.050000000000000044e-01,1.334075065999999810e+00,1.671692454373310127e-02
5.100000000000000089e-01,1.343844359999999849e+00,1.694556316138859028e-02
5.150000000000000133e-01,1.353584495999999859e+00,1.717364734007091609e-02
5.200000000000000178e-01,1.363297591999999891e+00,1.740118054891491919e-02
5.250000000000000222e-01,1.372985713999999913e+00,1.762817109167699389e-02
5.300000000000000266e-01,1.382650735999999991e+00,1.785463578107283206e-02
5.350000000000000311e-01,1.392294423999999919e+00,1.808059000650547032e-02
5.400000000000000355e-01,1.401918452000000093e+00,1.830602717166597906e-02
5.450000000000000400e-01,1.411524483999999857e+00,1.853093372628065311e-02
5.500000000000000444e-01,1.421113932000000135e+00,1.875531350614578069e-02
5.550000000000000488e-01,1.430688128000000336e+00,1.897918859709928421e-02
5.600000000000000533e-01,1.440248361999999727e+00,1.920254056230565748e-02
5.649999999999999467e-01,1.449795871999999930e+00,1.942535651100730024e-02
5.699999999999999512e-01,1.459331672000000246e+00,1.964764187665721251e-02
5.749999999999999556e-01,1.468856645999999877e+00,1.986942627298499478e-02
5.799999999999999600e-01,1.478371743999999932e+00,2.009071207149103894e-02
5.849999999999999645e-01,1.487877836000000231e+00,2.031151785684503358e-02
5.899999999999999689e-01,1.497375612000000134e+00,2.053188630075630794e-02
5.949999999999999734e-01,1.506865678000000042e+00,2.075186787645038819e-02
5.999999999999999778e-01,1.516348680000000115e+00,2.097150186598018690e-02
6.049999999999999822e-01,1.525825270000000122e+00,2.119081601776580739e-02
6.099999999999999867e-01,1.535295842000000022e+00,2.140987501946296084e-02
6.149999999999999911e-01,1.544760742000000020e+00,2.162875195394418915e-02
6.199999999999999956e-01,1.554220346000000141e+00,2.184751849458047360e-02
6.250000000000000000e-01,1.563675040000000127e+00,2.206622121853625898e-02
6.300000000000000044e-01,1.573125009999999824e+00,2.228496096839276824e-02
6.350000000000000089e-01,1.582570370000000226e+00,2.250382723115670544e-02
6.400000000000000133e-01,1.592011344000000106e+00,2.272289585941689172e-02
6.450000000000000178e-01,1.601448158000000177e+00,2.294221040400541353e-02
6.500000000000000222e-01,1.610880892000000175e+00,2.316183619082527734e-02
6.550000000000000266e-01,1.620309569999999866e+00,2.338185791606007397e-02
6.600000000000000311e-01,1.629734342000000114e+00,2.360231351324764901e-02
6.650000000000000355e-01,1.639155363999999837e+00,2.382322271541103750e-02
6.700000000000000400e-01,1.648572692000000117e+00,2.404460774728407746e-02
6.750000000000000444e-01,1.657986281999999978e+00,2.426650398813712251e-02
6.800000000000000488e-01,1.667396242000000139e+00,2.448890968856666517e-02
6.850000000000000533e-01,1.676802694000000260e+00,2.471179114848953695e-02
6.899999999999999467e-01,1.686205684000000149e+00,2.493513121041166306e-02
6.949999999999999512e-01,1.695605207999999919e+00,2.515892640432444011e-02
6.999999999999999556e-01,1.705001333999999868e+00,2.538313855141333120e-02
7.049999999999999600e-01,1.714394184000000099e+00,2.560771498558443715e-02
7.099999999999999645e-01,1.723783725999999961e+00,2.583262145133638846e-02
7.149999999999999689e-01,1.733169916000000033e+00,2.605784430468562410e-02
7.199999999999999734e-01,1.742552698000000122e+00,2.628336394572952303e-02
7.249999999999999778e-01,1.751932104000000212e+00,2.650912331051567469e-02
7.299999999999999822e-01,1.761308018000000031e+00,2.673508682142652568e-02
7.349999999999999867e-01,1.770680318000000142e+00,2.696123510473386400e-02
7.399999999999999911e-01,1.780048855999999846e+00,2.718752714456788497e-02
7.449999999999999956e-01,1.789413579999999726e+00,2.741391965399563729e-02
7.500000000000000000e-01,1.798774293999999996e+00,2.764036178681812325e-02
7.550000000000000044e-01,1.808130800000000038e+00,2.786685236253154049e-02
7.600000000000000089e-01,1.817482868000000140e+00,2.809337100111758759e-02
7.650000000000000133e-01,1.826830311999999790e+00,2.831990865435274340e-02
7.700000000000000178e-01,1.836172872000000122e+00,2.854646056971778256e-02
7.750000000000000222e-01,1.845510256000000071e+00,2.877303389453925858e-02
7.800000000000000266e-01,1.854842249999999693e+00,2.899962597591890581e-02
7.850000000000000311e-01,1.864168648000000150e+00,2.922622293425706716e-02
7.900000000000000355e-01,1.873489276000000148e+00,2.945282602776881989e-02
7.950000000000000400e-01,1.882803918000000021e+00,2.967944034360053829e-02
8.000000000000000444e-01,1.892112455999999998e+00,2.990610196011218164e-02
8.050000000000000488e-01,1.901414772000000086e+00,3.013281893740402811e-02
8.100000000000000533e-01,1.910710790000000214e+00,3.035964162236720262e-02
8.149999999999999467e-01,1.920000413999999989e+00,3.058659856714727662e-02
8.199999999999999512e-01,1.929283643999999853e+00,3.081376821002073871e-02
8.249999999999999556e-01,1.938560529999999726e+00,3.104116592909663547e-02
8.299999999999999600e-01,1.947831128000000023e+00,3.126884412055908058e-02
