lag_ps,msd_seg1_A2,msd_seg2_A2,msd_seg3_A2,msd_seg4_A2,msd_seg5_A2
1.509999999999999964e+01,7.489864766204044955e+00,7.262294936974242887e+00,7.039266189778337512e+00,8.568168761874847661e+00,8.421255630319469887e+00
1.520000000000000107e+01,7.532766626748658823e+00,7.303655819553891426e+00,7.079735061441538413e+00,8.616678137364189638e+00,8.473572567560376356e+00
1.530000000000000071e+01,7.575475833117347513e+00,7.345036861344628853e+00,7.119852112254721810e+00,8.665460040177695333e+00,8.526089953794915743e+00
1.540000000000000036e+01,7.618150523549895858e+00,7.386457448398997983e+00,7.159895957239116981e+00,8.714841602023149392e+00,8.579310354941776851e+00
1.550000000000000000e+01,7.661620294224862349e+00,7.427710101119042285e+00,7.199948047254740580e+00,8.764882587151706872e+00,8.632706415536748779e+00
1.559999999999999964e+01,7.705164992027116355e+00,7.468372437388701712e+00,7.240383570642286770e+00,8.814278265181414440e+00,8.686231788535382137e+00
1.570000000000000107e+01,7.749108691898059398e+00,7.508660976519609065e+00,7.281057070030334089e+00,8.863425837541667462e+00,8.739533898585525762e+00
1.580000000000000071e+01,7.793622191490377382e+00,7.549099211454668001e+00,7.321204205158863942e+00,8.912265605708160621e+00,8.792176730753885394e+00
1.590000000000000036e+01,7.838606192426063046e+00,7.590938841197819364e+00,7.361380971669431617e+00,8.960777454516717810e+00,8.844486230860628240e+00
1.600000000000000000e+01,7.882840839406195954e+00,7.633841045581058360e+00,7.402119181701894313e+00,9.008877340527593702e+00,8.896862786663055189e+00
1.610000000000000142e+01,7.926346523852593862e+00,7.676557021294943439e+00,7.442686062501355337e+00,9.056370493919574827e+00,8.950042232934293907e+00
1.619999999999999929e+01,7.969262500333673671e+00,7.718732160842926682e+00,7.483603854475773254e+00,9.103857788040768284e+00,9.002603978757415248e+00
1.630000000000000071e+01,8.011775395067950001e+00,7.760586383309544978e+00,7.524805742347259851e+00,9.151809755660350376e+00,9.054651492618681630e+00
1.639999999999999858e+01,8.054686973078039713e+00,7.801413312407028400e+00,7.566389204082420328e+00,9.200447578230493306e+00,9.107138123833443899e+00
1.650000000000000000e+01,8.098141602410459328e+00,7.841691805030526652e+00,7.608396514516365450e+00,9.249540986239185969e+00,9.159898679869897364e+00
1.660000000000000142e+01,8.141699520799779322e+00,7.882378379268828894e+00,7.649348535142479477e+00,9.298568239332816177e+00,9.212010790964278328e+00
1.669999999999999929e+01,8.185636615117628523e+00,7.924266543510413818e+00,7.689582058839152801e+00,9.347429611547081407e+00,9.263193913403462432e+00
1.680000000000000071e+01,8.229946891286314070e+00,7.966246266174674240e+00,7.729449369264490777e+00,9.395623697383248540e+00,9.313564080303155635e+00
1.689999999999999858e+01,8.274053694278343585e+00,8.007408593666239582e+00,7.769025678766300125e+00,9.443514264876240460e+00,9.364194256956432483e+00
1.700000000000000000e+01,8.317685340836421304e+00,8.048115460399683840e+00,7.808477177488250653e+00,9.491906849676116309e+00,9.415249318490287678e+00
1.710000000000000142e+01,8.360740270867227153e+00,8.088803267212011150e+00,7.848103709472570522e+00,9.541023116636338841e+00,9.466930222345819601e+00
1.719999999999999929e+01,8.404049469180515430e+00,8.129621130496554215e+00,7.887459207844407238e+00,9.590064706900166769e+00,9.519035887442445443e+00
1.730000000000000071e+01,8.447160946635442258e+00,8.170381561468376574e+00,7.926965625663891402e+00,9.639013635057319007e+00,9.571089720527726996e+00
1.740000000000000213e+01,8.490020681502329580e+00,8.211059368464862729e+00,7.966946993242516761e+00,9.687637813248773710e+00,9.623130172828577855e+00
1.750000000000000000e+01,8.533226596373429729e+00,8.252169292521925215e+00,8.007842030077760853e+00,9.736085938407518015e+00,9.674604840877268686e+00
