lag_ps,msd_Na_seg1_A2,msd_Cl_seg1_A2,msd_Na_seg2_A2,msd_Cl_seg2_A2,msd_Na_seg3_A2,msd_Cl_seg3_A2,msd_Na_seg4_A2,msd_Cl_seg4_A2,msd_Na_seg5_A2,msd_Cl_seg5_A2
5.899999999999999689e-01,5.554065381176529481e-01,7.118593016430483367e-01,5.546138110267437860e-01,7.213223458264160781e-01,5.406804769463886551e-01,6.970932168099781556e-01,5.795828961306597193e-01,7.195812973157305059e-01,5.519400349202214784e-01,7.471088349759548164e-01
5.999999999999999778e-01,5.592156748432317581e-01,7.157028064312700444e-01,5.586812879563878287e-01,7.257567070468680104e-01,5.442989874913229942e-01,7.010253211897937708e-01,5.840294887098467225e-01,7.238879755340880129e-01,5.556915081825005709e-01,7.515636690326535918e-01
6.099999999999999867e-01,5.629397924260248764e-01,7.195113099993667438e-01,5.626273367465759456e-01,7.301567266100303932e-01,5.478563615125027209e-01,7.048954892873161571e-01,5.884109426037772428e-01,7.281696422847150352e-01,5.593095633523148535e-01,7.560024700365235439e-01
6.199999999999999956e-01,5.665831999060692015e-01,7.232948298944594789e-01,5.664604942287370104e-01,7.345294293668113150e-01,5.513671592597183535e-01,7.087026465729309166e-01,5.927304443476720808e-01,7.324361135755452779e-01,5.628064473894229813e-01,7.604354602761355109e-01
6.300000000000000044e-01,5.701493998431791388e-01,7.270630074126214204e-01,5.701929017255495946e-01,7.388815521989108293e-01,5.548406468196750430e-01,7.124477195004854657e-01,5.969896869171343878e-01,7.366958222865555017e-01,5.661948158246951079e-01,7.648715053574304257e-01
6.400000000000000133e-01,5.736421152671861146e-01,7.308242556520414546e-01,5.738387558825321921e-01,7.432196289138472967e-01,5.582797753014605568e-01,7.161339920970198891e-01,6.011897350799384476e-01,7.409552718491707601e-01,5.694874048970935965e-01,7.693180254071371182e-01
6.500000000000000222e-01,5.770661517018803588e-01,7.345845655296316945e-01,5.774119512816690003e-01,7.475499408725139183e-01,5.616814662400125835e-01,7.197669066911392965e-01,6.053318373028717669e-01,7.452188050296703059e-01,5.726964951333634035e-01,7.737804407948564167e-01
6.600000000000000311e-01,5.804274506536191147e-01,7.383469442628753932e-01,5.809231582869485155e-01,7.518785971260828482e-01,5.650382388189806315e-01,7.233536331557767207e-01,6.094178779297799720e-01,7.494880958774134960e-01,5.758338079012332855e-01,7.782621719294032792e-01
6.700000000000000400e-01,5.837324487673830609e-01,7.421124207963821773e-01,5.843771689030019534e-01,7.562114644890066684e-01,5.683411088198795369e-01,7.269030442143831205e-01,6.134508446509099322e-01,7.537625124740670035e-01,5.789104436922419827e-01,7.827643867133310396e-01
6.800000000000000488e-01,5.869872549400017014e-01,7.458805339340415230e-01,5.877712552686710223e-01,7.605536499513365634e-01,5.715829543145566349e-01,7.304252547412930507e-01,6.174355252792148585e-01,7.580402737706890548e-01,5.819367524756494658e-01,7.872859401608897079e-01
6.900000000000000577e-01,5.901975542915605111e-01,7.496501864818836403e-01,5.910962840528731777e-01,7.649090739075935508e-01,5.747600974621762671e-01,7.339304445938145127e-01,6.213786492566428787e-01,7.623192329168154702e-01,5.849227437252201289e-01,7.918233237899952037e-01
7.000000000000000666e-01,5.933681325137108997e-01,7.534200391275666098e-01,5.943408414712476606e-01,7.692809392013120195e-01,5.778725989951093434e-01,7.374275241539609560e-01,6.252876573034755747e-01,7.665970896137158652e-01,5.878781867562629104e-01,7.963711986711119462e-01
7.099999999999999645e-01,5.965021193210178208e-01,7.571893994609126821e-01,5.974962545472395359e-01,7.736716804863527086e-01,5.809245010360370998e-01,7.409232356723881585e-01,6.291699647858624012e-01,7.708715027757193639e-01,5.908121315877489232e-01,8.009231643991117089e-01
