lag_fs,acf_norm_mean,acf_norm_sem
6.400000000000000000e+01,1.104068360000000082e-01,3.739256483558728913e-03
6.450000000000000000e+01,1.352953799999999929e-01,2.596324525703595787e-03
6.500000000000000000e+01,1.452926459999999698e-01,1.584754268199333469e-03
6.550000000000000000e+01,1.392713099999999815e-01,1.772285836579418766e-03
6.600000000000000000e+01,1.179891100000000081e-01,2.896171593212321614e-03
6.650000000000000000e+01,8.393488000000000337e-02,4.003543746691175069e-03
6.700000000000000000e+01,4.097649799999999315e-02,4.777542495033822167e-03
6.750000000000000000e+01,-6.137825999999999872e-03,5.092958701506031076e-03
6.800000000000000000e+01,-5.235894199999999860e-02,4.915943199527838571e-03
6.850000000000000000e+01,-9.292530599999999918e-02,4.296172707489306734e-03
6.900000000000000000e+01,-1.238923140000000034e-01,3.385030416918879438e-03
6.950000000000000000e+01,-1.425443580000000099e-01,2.512785579036536186e-03
7.000000000000000000e+01,-1.476474299999999962e-01,2.291422181142096972e-03
7.050000000000000000e+01,-1.395200039999999753e-01,2.932680675894666199e-03
7.100000000000000000e+01,-1.199211940000000087e-01,3.833373104564178225e-03
7.150000000000000000e+01,-9.177659400000000300e-02,4.544441265315900952e-03
7.200000000000000000e+01,-5.878061800000000670e-02,4.867649557095703704e-03
7.250000000000000000e+01,-2.492785000000000140e-02,4.732053651730926125e-03
7.300000000000000000e+01,5.967455999999999455e-03,4.159933670050040833e-03
7.350000000000000000e+01,3.070536200000000340e-02,3.277616935459969592e-03
7.400000000000000000e+01,4.703820399999999319e-02,2.403575307696016478e-03
7.450000000000000000e+01,5.387726600000000005e-02,2.217927524186937959e-03
7.500000000000000000e+01,5.135125000000000106e-02,3.004044146628008331e-03
7.550000000000000000e+01,4.071853399999999373e-02,4.109033172524407737e-03
7.600000000000000000e+01,2.415207800000000044e-02,5.067894789674899994e-03
7.650000000000000000e+01,4.429449999999999707e-03,5.669287831170683779e-03
7.700000000000000000e+01,-1.543149400000000046e-02,5.818788354359178371e-03
7.750000000000000000e+01,-3.254686199999999585e-02,5.505054679222904160e-03
