lag_fs,running_eta_mean,running_eta_sem
1.175000000000000000e+02,2.268417900000000154e-01,3.346675126983493943e-03
1.180000000000000000e+02,2.275968220000000319e-01,3.330892815349060197e-03
1.185000000000000000e+02,2.283645100000000205e-01,3.305079407518069900e-03
1.190000000000000000e+02,2.291332700000000000e-01,3.275108317853017009e-03
1.195000000000000000e+02,2.299018740000000061e-01,3.247298125747926853e-03
1.200000000000000000e+02,2.306794440000000113e-01,3.227867521950985186e-03
1.205000000000000000e+02,2.314838899999999700e-01,3.222305121196623445e-03
1.210000000000000000e+02,2.323389720000000325e-01,3.234677214810468063e-03
1.215000000000000000e+02,2.332703759999999737e-01,3.266957569407043672e-03
1.220000000000000000e+02,2.343013340000000277e-01,3.318560568527562180e-03
1.225000000000000000e+02,2.354483179999999898e-01,3.386268228446176476e-03
1.230000000000000000e+02,2.367174300000000342e-01,3.464634936473105515e-03
1.235000000000000000e+02,2.381019119999999989e-01,3.546786240620372708e-03
1.240000000000000000e+02,2.395812059999999910e-01,3.625432281456376915e-03
1.245000000000000000e+02,2.411216959999999965e-01,3.693874651860293810e-03
1.250000000000000000e+02,2.426791399999999876e-01,3.746810001533299687e-03
1.255000000000000000e+02,2.442025440000000214e-01,3.780893335200824143e-03
1.260000000000000000e+02,2.456390640000000458e-01,3.794979850689069942e-03
1.265000000000000000e+02,2.469393699999999914e-01,3.790108378052008467e-03
1.270000000000000000e+02,2.480628559999999982e-01,3.769302404071075193e-03
1.275000000000000000e+02,2.489820260000000229e-01,3.737222448667732854e-03
1.280000000000000000e+02,2.496855600000000008e-01,3.699756569552921110e-03
1.285000000000000000e+02,2.501796640000000238e-01,3.663560833637949637e-03
1.290000000000000000e+02,2.504875079999999699e-01,3.635507794012271358e-03
1.295000000000000000e+02,2.506468600000000269e-01,3.622026807367666190e-03
1.300000000000000000e+02,2.507061059999999841e-01,3.628338356736587802e-03
1.305000000000000000e+02,2.507192000000000309e-01,3.657653031916777674e-03
1.310000000000000000e+02,2.507400260000000047e-01,3.710548690344325252e-03
1.315000000000000000e+02,2.508168800000000198e-01,3.784724528924133819e-03
1.320000000000000000e+02,2.509876639999999992e-01,3.875241483796326106e-03
1.325000000000000000e+02,2.512763720000000256e-01,3.975257993540042174e-03
1.330000000000000000e+02,2.516912379999999838e-01,4.077005835875635933e-03
1.335000000000000000e+02,2.522248180000000173e-01,4.172847606873985454e-03
1.340000000000000000e+02,2.528559499999999960e-01,4.256169650922059060e-03
1.345000000000000000e+02,2.535533620000000044e-01,4.322042944938659335e-03
1.350000000000000000e+02,2.542805060000000172e-01,4.367586811149384331e-03
1.355000000000000000e+02,2.550009720000000479e-01,4.392077241649333663e-03
1.360000000000000000e+02,2.556838120000000103e-01,4.396862322432208182e-03
1.365000000000000000e+02,2.563081419999999611e-01,4.385135573607043882e-03
1.370000000000000000e+02,2.568663860000000021e-01,4.361652929964277177e-03
1.375000000000000000e+02,2.573657980000000345e-01,4.332372183556485248e-03
1.380000000000000000e+02,2.578280480000000319e-01,4.304016360490979867e-03
1.385000000000000000e+02,2.582869700000000046e-01,4.283502487787299931e-03
1.390000000000000000e+02,2.587846460000000071e-01,4.277197045527128018e-03
1.395000000000000000e+02,2.593663880000000033e-01,4.290036214782346966e-03
1.400000000000000000e+02,2.600751459999999793e-01,4.324704114656396751e-03
1.405000000000000000e+02,2.609460299999999955e-01,4.381042530118826363e-03
1.410000000000000000e+02,2.620015660000000191e-01,4.455956327798331514e-03
1.415000000000000000e+02,2.632483079999999864e-01,4.543850889336487585e-03
1.420000000000000000e+02,2.646751720000000141e-01,4.637505995670947699e-03
1.425000000000000000e+02,2.662537560000000081e-01,4.729153053078959459e-03
1.430000000000000000e+02,2.679406380000000643e-01,4.811528101530113122e-03
1.435000000000000000e+02,2.696813839999999685e-01,4.878714313110167275e-03
1.440000000000000000e+02,2.714158260000000267e-01,4.926689923527358475e-03
1.445000000000000000e+02,2.730840079999999892e-01,4.953577722530865673e-03
1.450000000000000000e+02,2.746320319999999704e-01,4.959628767499038061e-03
1.455000000000000000e+02,2.760172340000000002e-01,4.947043848368034603e-03
1.460000000000000000e+02,2.772120299999999982e-01,4.919679982179733096e-03
1.465000000000000000e+02,2.782060519999999815e-01,4.882714421230678614e-03
1.470000000000000000e+02,2.790064100000000380e-01,4.842268151280965452e-03
1.475000000000000000e+02,2.796360679999999599e-01,4.804962585816248237e-03
1.480000000000000000e+02,2.801305760000000200e-01,4.777359561932302025e-03
1.485000000000000000e+02,2.805335979999999951e-01,4.765259789031857200e-03
1.490000000000000000e+02,2.808917280000000072e-01,4.772969359613994135e-03
1.495000000000000000e+02,2.812491500000000033e-01,4.802607956894881444e-03
1.500000000000000000e+02,2.816427940000000296e-01,4.853727209947633452e-03
1.505000000000000000e+02,2.820984919999999785e-01,4.923325472819559644e-03
1.510000000000000000e+02,2.826285339999999868e-01,5.006328282505656015e-03
1.515000000000000000e+02,2.832309599999999761e-01,5.096361252275981996e-03
1.520000000000000000e+02,2.838906340000000306e-01,5.186680429255885981e-03
1.525000000000000000e+02,2.845819279999999840e-01,5.271003656822301209e-03
1.530000000000000000e+02,2.852727740000000067e-01,5.344153556919565944e-03
1.535000000000000000e+02,2.859294760000000712e-01,5.402448534429184733e-03
1.540000000000000000e+02,2.865217180000000363e-01,5.443852590160202717e-03
1.545000000000000000e+02,2.870271040000000329e-01,5.467969945186783483e-03
1.550000000000000000e+02,2.874347019999999864e-01,5.475942201878503633e-03
1.555000000000000000e+02,2.877470979999999789e-01,5.470299465194201384e-03
1.560000000000000000e+02,2.879807979999999823e-01,5.454793207374960401e-03
1.565000000000000000e+02,2.881648860000000090e-01,5.434176192174477484e-03
1.570000000000000000e+02,2.883381760000000016e-01,5.413873904303270757e-03
1.575000000000000000e+02,2.885451960000000038e-01,5.399508048295329453e-03
1.580000000000000000e+02,2.888314180000000064e-01,5.396268869026448964e-03
1.585000000000000000e+02,2.892383559999999743e-01,5.408206212511315440e-03
1.590000000000000000e+02,2.897989939999999764e-01,5.437589899765894220e-03
1.595000000000000000e+02,2.905341000000000173e-01,5.484508176070119340e-03
1.600000000000000000e+02,2.914498140000000292e-01,5.546836067818837653e-03
1.605000000000000000e+02,2.925367999999999857e-01,5.620575117250906083e-03
1.610000000000000000e+02,2.937710760000000199e-01,5.700495621608354067e-03
1.615000000000000000e+02,2.951164419999999788e-01,5.780897856270596213e-03
1.620000000000000000e+02,2.965281900000000248e-01,5.856322479118611715e-03
1.625000000000000000e+02,2.979577540000000191e-01,5.922105821363372706e-03
1.630000000000000000e+02,2.993576300000000412e-01,5.974752772218279613e-03
