lag_ps,msd_mean,msd_sem
1.429999999999999938e+00,2.479257485999999844e+00,3.024438249695667325e-01
1.435000000000000053e+00,2.486281978000000059e+00,3.035026412232372239e-01
1.439999999999999947e+00,2.493304894000000438e+00,3.045644514957382420e-01
1.445000000000000062e+00,2.500325916000000426e+00,3.056293709296308836e-01
1.449999999999999956e+00,2.507344845999999627e+00,3.066974355994712131e-01
1.455000000000000071e+00,2.514361244000000273e+00,3.077686177554922464e-01
1.459999999999999964e+00,2.521374581999999975e+00,3.088427440988336103e-01
1.465000000000000080e+00,2.528384432000000182e+00,3.099196552250252923e-01
1.469999999999999973e+00,2.535390591999999721e+00,3.109992090384117724e-01
1.475000000000000089e+00,2.542392720000000050e+00,3.120812266735596419e-01
1.479999999999999982e+00,2.549390308000000438e+00,3.131654810681370749e-01
1.485000000000000098e+00,2.556383036000000164e+00,3.142517203810588633e-01
1.489999999999999991e+00,2.563370793999999897e+00,3.153396811137739175e-01
1.495000000000000107e+00,2.570353576000000029e+00,3.164291184643606702e-01
1.500000000000000000e+00,2.577330997999999873e+00,3.175197085651082496e-01
1.504999999999999893e+00,2.584302891999999741e+00,3.186112032840888175e-01
1.510000000000000009e+00,2.591269372000000182e+00,3.197033579121121294e-01
1.514999999999999902e+00,2.598230619999999824e+00,3.207959546684318597e-01
1.520000000000000018e+00,2.605186574000000199e+00,3.218887473224380513e-01
1.524999999999999911e+00,2.612137284000000115e+00,3.229814934355709766e-01
1.530000000000000027e+00,2.619083202000000110e+00,3.240740209445411302e-01
1.534999999999999920e+00,2.626024778000000115e+00,3.251661796687125849e-01
1.540000000000000036e+00,2.632962140000000062e+00,3.262578809887092257e-01
1.544999999999999929e+00,2.639895568000000026e+00,3.273490252015128776e-01
1.550000000000000044e+00,2.646825623999999877e+00,3.284395971480239540e-01
1.554999999999999938e+00,2.653752837999999947e+00,3.295295892088053180e-01
1.560000000000000053e+00,2.660677267999999707e+00,3.306190124337257119e-01
1.564999999999999947e+00,2.667599083999999898e+00,3.317078598742974060e-01
1.570000000000000062e+00,2.674518674000000207e+00,3.327961772992662492e-01
1.574999999999999956e+00,2.681436609999999998e+00,3.338840417427103580e-01
1.580000000000000071e+00,2.688352961999999735e+00,3.349715227646417048e-01
1.584999999999999964e+00,2.695267865999999568e+00,3.360586907886491947e-01
1.590000000000000080e+00,2.702181631999999833e+00,3.371456492373469116e-01
1.594999999999999973e+00,2.709094732000000061e+00,3.382324543732339595e-01
1.600000000000000089e+00,2.716007236000000269e+00,3.393191949482201597e-01
1.604999999999999982e+00,2.722919141999999848e+00,3.404058789870960111e-01
1.610000000000000098e+00,2.729830725999999430e+00,3.414925944395800217e-01
1.614999999999999991e+00,2.736742226000000056e+00,3.425792924184924426e-01
1.620000000000000107e+00,2.743653727999999958e+00,3.436660944197820755e-01
1.625000000000000000e+00,2.750565029999999744e+00,3.447529528561123491e-01
1.629999999999999893e+00,2.757476321999999591e+00,3.458399327631688780e-01
1.635000000000000009e+00,2.764387798000000007e+00,3.469269459984853365e-01
1.639999999999999902e+00,2.771299518000000184e+00,3.480140932722607383e-01
1.645000000000000018e+00,2.778211396000000555e+00,3.491013438458246410e-01
1.649999999999999911e+00,2.785123705999999810e+00,3.501887340025413575e-01
1.655000000000000027e+00,2.792036799999999985e+00,3.512761822567870840e-01
1.659999999999999920e+00,2.798950714000000062e+00,3.523636783899549152e-01
1.665000000000000036e+00,2.805865487999999797e+00,3.534511616972894621e-01
1.669999999999999929e+00,2.812781316000000142e+00,3.545386244171374601e-01
1.675000000000000044e+00,2.819698712000000107e+00,3.556259835154391147e-01
1.679999999999999938e+00,2.826617720000000222e+00,3.567131830562623174e-01
1.685000000000000053e+00,2.833538407999999897e+00,3.578001748520958092e-01
1.689999999999999947e+00,2.840461009999999842e+00,3.588869756632605545e-01
1.695000000000000062e+00,2.847386003999999637e+00,3.599735243060012135e-01
1.699999999999999956e+00,2.854313713999999891e+00,3.610598553765370644e-01
1.705000000000000071e+00,2.861244217999999950e+00,3.621459361994536774e-01
1.709999999999999964e+00,2.868178012000000443e+00,3.632318136966178335e-01
1.715000000000000080e+00,2.875115552000000019e+00,3.643174599690174320e-01
1.719999999999999973e+00,2.882057388000000220e+00,3.654029132827219528e-01
