r_A,g_NaCl,w_NaCl_kcalmol,g_NaO,g_ClO
2.425000000000000266e+00,1.553548347708240580e-02,nan,6.068059256687026171e+00,0.000000000000000000e+00
2.475000000000000089e+00,5.592805752504960426e-02,1.675485211183448619e+00,5.555788620905647512e+00,0.000000000000000000e+00
2.525000000000000355e+00,2.471814003380636837e-01,7.950192871397214756e-01,4.652724028415335944e+00,0.000000000000000000e+00
2.575000000000000178e+00,5.786884616949058424e-01,2.910268699951871207e-01,3.667913923287823508e+00,0.000000000000000000e+00
2.625000000000000000e+00,1.103763786339254427e+00,-9.155068728571921777e-02,2.749394109694950572e+00,0.000000000000000000e+00
2.675000000000000266e+00,1.624655252444545894e+00,-3.205873850068685083e-01,1.985323620701111125e+00,2.296300055751219972e-04
2.725000000000000089e+00,1.913149200157480578e+00,-4.174320279852086757e-01,1.430358836639519016e+00,1.936206655413952923e-03
2.775000000000000355e+00,2.174051881724520019e+00,-4.931764668069019697e-01,1.037180669181785531e+00,1.360289413369106248e-02
2.825000000000000178e+00,2.157877357233970450e+00,-4.887520149889041932e-01,7.439412210203274478e-01,7.798179961570581020e-02
2.875000000000000000e+00,2.055842996570733661e+00,-4.600526077550604054e-01,5.403704673772333766e-01,2.731422871981306622e-01
2.925000000000000266e+00,1.580385528476675905e+00,-3.042189122665042711e-01,4.160880380425722724e-01,7.482958773244274830e-01
2.975000000000000089e+00,1.303199392321207295e+00,-1.899602662340930392e-01,3.242914080115490982e-01,1.489642584819045101e+00
3.025000000000000355e+00,1.125691922659459498e+00,-1.032060062328139793e-01,2.641889711452934386e-01,2.330025517307420024e+00
3.075000000000000178e+00,8.309258828948838937e-01,7.667985608925453889e-02,2.313388994486812456e-01,3.046505225134041872e+00
3.125000000000000000e+00,6.993032289963548864e-01,1.788575203747155007e-01,2.099457674214291747e-01,3.357744138024592484e+00
3.175000000000000266e+00,5.256482268389417456e-01,3.479836590400356977e-01,2.025297450531459986e-01,3.374504156560556911e+00
3.225000000000000089e+00,4.062629752441226372e-01,5.006264607547159518e-01,1.981549044137432547e-01,3.059650752504491589e+00
3.275000000000000355e+00,4.003413584177732409e-01,5.093259716657139169e-01,2.033342522424573251e-01,2.602134569901072503e+00
3.325000000000000178e+00,2.933597418309231708e-01,6.935401543372624600e-01,2.240550262489192090e-01,2.130231958520196756e+00
3.375000000000000000e+00,2.526496501045979448e-01,7.820549677246850795e-01,2.477593776719464180e-01,1.726129125693212751e+00
