# Green-Kubo viscosity from /rds/user/crm98/hpc-work/cp2k-benchmarks/results/figS4/production/feature-nnp-chebyshev/N512/seg1/H2O-512_feature-nnp-chebyshev_seg1-1.stress
# n_molecules: 512
# volume_ang3: 15326.9159
# temperature_K: 300.0
# timestep_fs: 0.5
# discard_ps: 10.0
# int_limit_ps: 3.0
# n_frames_used: 180001
# eta_mPa_s: 0.671961
lag_fs,acf_normalized,running_eta_mPa_s
261.000,0.00855550,0.40472920
261.500,0.00867864,0.40493027
262.000,0.00973846,0.40514514
262.500,0.01171299,0.40539542
263.000,0.01447968,0.40570101
263.500,0.01782354,0.40607790
264.000,0.02145645,0.40653618
264.500,0.02504579,0.40707872
265.000,0.02824874,0.40770051
265.500,0.03074825,0.40838884
266.000,0.03228627,0.40912426
266.500,0.03269072,0.40988236
267.000,0.03189384,0.41063587
267.500,0.02994022,0.41135729
268.000,0.02698425,0.41202143
268.500,0.02327702,0.41260783
269.000,0.01914350,0.41310276
269.500,0.01495171,0.41350055
270.000,0.01107643,0.41380422
270.500,0.00786095,0.41402517
271.000,0.00558094,0.41418199
271.500,0.00441466,0.41429861
272.000,0.00442327,0.41440172
272.500,0.00554408,0.41451801
273.000,0.00759786,0.41467134
273.500,0.01030950,0.41488027
274.000,0.01333954,0.41515618
274.500,0.01632248,0.41550225
275.000,0.01890724,0.41591328
275.500,0.02079514,0.41637649
276.000,0.02177152,0.41687312
276.500,0.02172801,0.41738063
277.000,0.02067371,0.41787534
277.500,0.01873414,0.41833511
278.000,0.01613830,0.41874197
278.500,0.01319479,0.41908420
279.000,0.01025922,0.41935784
279.500,0.00769580,0.41956732
280.000,0.00583713,0.41972521
280.500,0.00494650,0.41985103
281.000,0.00518682,0.41996925
281.500,0.00660014,0.42010677
282.000,0.00910030,0.42028995
282.500,0.01247986,0.42054173
283.000,0.01643075,0.42087903
283.500,0.02057643,0.42131079
284.000,0.02451185,0.42183684
284.500,0.02784675,0.42244771
285.000,0.03024762,0.42312551
285.500,0.03147361,0.42384561
286.000,0.03140274,0.42457919
286.500,0.03004541,0.42529611
287.000,0.02754364,0.42596801
287.500,0.02415610,0.42657119
288.000,0.02023027,0.42708905
288.500,0.01616490,0.42751368
289.000,0.01236663,0.42784656
289.500,0.00920567,0.42809824
290.000,0.00697531,0.42828703
290.500,0.00586009,0.42843678
291.000,0.00591636,0.42857418
291.500,0.00706756,0.42872566
292.000,0.00911476,0.42891446
292.500,0.01176132,0.42915802
293.000,0.01464857,0.42946615
293.500,0.01739837,0.42984004
294.000,0.01965741,0.43027238
294.500,0.02113809,0.43074834
295.000,0.02165104,0.43124756
295.500,0.02112581,0.43174664
296.000,0.01961729,0.43222200
296.500,0.01729756,0.43265268
297.000,0.01443483,0.43302291
297.500,0.01136204,0.43332388
298.000,0.00843909,0.43355490
298.500,0.00601275,0.43372351
299.000,0.00437846,0.43384475
299.500,0.00374791,0.43393956
300.000,0.00422539,0.43403259
300.500,0.00579576,0.43414950
301.000,0.00832502,0.43431425
301.500,0.01157389,0.43454641
302.000,0.01522305,0.43485906
302.500,0.01890760,0.43525726
303.000,0.02225725,0.43573753
303.500,0.02493778,0.43628816
304.000,0.02668900,0.43689049
304.500,0.02735433,0.43752102
305.000,0.02689801,0.43815399
305.500,0.02540761,0.43876424
306.000,0.02308134,0.43932997
306.500,0.02020251,0.43983496
307.000,0.01710468,0.44027023
307.500,0.01413242,0.44063467
308.000,0.01160251,0.44093492
308.500,0.00976970,0.44118427
309.000,0.00880051,0.44140093
309.500,0.00875699,0.44160578
310.000,0.00959174,0.44181986
310.500,0.01115453,0.44206190
311.000,0.01320991,0.44234617
311.500,0.01546434,0.44268071
312.000,0.01760050,0.44306648
312.500,0.01931558,0.44349718
313.000,0.02035900,0.44396007
313.500,0.02056484,0.44443753
314.000,0.01987389,0.44490933
